StationID,no.,Seasons,pH,Cond,Temp,Dissolved_Oxygen,TDS,Na,K,Ca,Mg,F,Cl,HCO3,NO3,SO4,Si
M08,M36,Rainy,6.9,324,30.4,3.59,162,46.49626843,2.452418817,10.3071,2.5172,0.132811653,75.42946449,33.97415424,0.341335033,6.169358113,6.500603931
M09,M40,Rainy,6.8,193,29.7,3.91,97,25.69978581,2.411718505,6.2005,1.6233,0.136797593,40.44775513,26.18841056,0.451701596,4.137652184,6.141986411
M10,M34,Rainy,6.67,65,20.3,4.24,33,6.259095758,1.609212347,3.9769,0.8578,0.14968731,6.734899201,19.11046176,2.02128975,3.017932682,5.759461056
M11,M39,Rainy,6.47,126,30,2.97,63,17.81341911,2.002115362,3.1868,0.8544,0.106578254,27.63143964,14.1558976,0.307474685,3.438867469,3.392585424
M12,M28,Rainy,6.48,42,29,4.99,21,3.929039685,1.436411022,2.3509,0.4951,0.359366009,5.618862421,10.6169232,0.542990825,1.295278357,4.17477896
M13,M26,Rainy,6.36,40,27.9,4.74,20,3.675653209,1.677712873,1.9273,0.5266,0.161588897,5.576092909,8.13964112,0.303111405,1.351667063,3.866742124
M14,M04,Rainy,7.3,177,28.8,4.83,88,19.39421088,3.069123549,10.1189,2.2448,0.370986618,27.44837027,42.4676928,0,4.041854744,7.062909673
M15,M24,Rainy,6.44,36,27.7,5.01,18,2.858719217,1.57051205,1.7755,0.6596,0.071348119,4.9225243,9.15252,0.477226184,1.792092585,5.342751961
M16,M18,Rainy,6.51,31,27.3,4.94,16,2.121649444,1.568512035,2.0377,0.5122,0.17819586,3.773432296,5.491512,0.747439131,1.836184638,3.956586201
M17,M06,Rainy,7.36,100,27.1,5.89,50,3.741923518,1.386210636,11.6187,2.3754,0.115993817,5.457765447,42.4676928,0,3.345543821,7.159113775
M18,M13,Rainy,6.52,50,26.7,5.05,25,6.029198758,1.106908493,1.8123,0.6411,0.08500126,8.256346388,10.6169232,0,1.589171593,3.323885947
M19,M14,Rainy,6.54,56,27.5,4.53,28,6.465403327,1.37231053,2.5784,0.6864,0.630159737,8.695412576,10.6169232,0,1.360139292,3.758277698
