StationID,Seasons,pH,Cond,Temp,Dissolved_Oxygen,TDS,Na,K,Ca,Mg,F,Cl,HCO3,NO3,SO4,Si
M33,Dry,7.86,1128,24,8.19,747.5,4.31976463,0.198619364,1.2083517,0.203408545,0.004952823,11.72322224,5.248054968,0.02002973,1.653227887,0.642262084
M34,Dry,7.23,277.8,26.2,6.34,174.2,0.494508447,0.100326238,1.02519524,0.07845654,0.002886353,2.410477672,1.3957593,0.012996012,0.310471869,0.29279595
M35,Dry,6.11,90.2,29.9,3.94,53.3,0.209137301,0.079877827,0.226400622,0.02804797,0.003843818,0.31708497,1.730741532,0.019536705,0.118866553,0.400041278
M36,Dry,7.63,951,28.3,6.5,578.5,3.24614564,0.237170288,1.10775592,0.191499095,0.005236469,8.335843888,5.638867572,0.068757819,1.685335297,0.716301519
M37,Dry,7.92,626,28.2,7.63,383.5,1.874120344,0.200222394,0.90896904,0.163402515,0.005395477,4.475184317,5.86218906,0,2.172156024,0.702534186
M38,Dry,7.4,312.7,28.1,5.17,191.75,0.61152602,0.203741241,0.74705392,0.13377472,0.003982848,1.998557093,3.852295668,0.022339869,0.207782594,0.717342073
M39,Dry,6.62,215.6,25.5,6.36,139.1,0.829698273,0.067991944,0.05170062,0.035704045,0.002941685,2.057311124,0.446642976,0.013143654,0.209937868,0.27606704
M40,Dry,7.47,995,26.9,5.96,624,3.71283655,0.157292461,0.95305484,0.15035073,0.004144044,9.587993596,4.410599388,0.042433605,1.314011017,0.746776522
M41,Dry,7.69,544,26.7,7.08,344.5,1.992977093,0.112642202,0.44847282,0.09581031,0.00401718,5.183116409,2.400705996,0,0.317945632,0.415377013
M42,Dry,8.46,566,26.7,8.72,357.5,1.897110044,0.134068071,0.7194001,0.12483048,0.004270345,4.839672146,4.243108272,0,0.547273974,0.42374196
M43,Dry,7.55,610,26.8,4.69,383.5,2.127696735,0.130744715,0.68292912,0.122132625,0.004059302,5.635890001,3.573143808,0.012078608,0.277222683,0.570210538
M44,Dry,7.7,300,26.8,6.6,188.5,0.604399213,0.200222394,0.8837199,0.183381225,0.006651699,0.978933523,7.369609104,0,0.441689777,0.676120117
M45,Dry,7.33,640,27.6,5.56,396.5,1.930675006,0.498112342,0.90055266,0.21135628,0.003411883,4.49131741,7.034626872,0.036668799,1.548464015,0.735591793
M46,Dry,7.66,980,28.4,7.38,598,3.09901156,0.549331115,1.20193922,0.281938,0.004065424,7.646128226,8.93285952,0,1.761899911,0.482096776
M47,Dry,7.65,1270,30.5,6.86,747.5,3.89215621,0.380465557,1.54941548,0.27683395,0.004468709,9.075395582,9.714484728,0,0.763406477,0.853814762
M48,Dry,7.87,631,26.7,7.17,396.5,0.324384667,0.100404434,4.148073,0.23298773,0.002474671,0.680965839,22.10882731,0.294650849,0.937378065,1.141448604
M49,Dry,7.09,101.9,28.3,6.75,62.4,0.106166435,0.090864449,0.37192384,0.049752335,0.000668993,0.098578783,2.903179344,0.024888185,0.217711521,0.867465241
M50,Dry,7.27,293.9,26.4,5.85,185.9,0.368065097,0.215900813,0.99353362,0.2503415,0.003789638,0.512578391,7.592930592,0.11448279,1.630357816,0.714260646
M51,Dry,7.79,515,26.7,7.2,325,0.945106567,0.278497191,1.9337635,0.200734995,0.003726106,1.728430359,12.28268184,0.148208098,1.676520159,0.49575817
M52,Dry,7.54,348.4,28.2,5.14,213.2,0.908552944,0.41444198,0.43805254,0.128549145,0.002764749,1.767593665,4.913072736,0.252372166,1.25293462,0.631336799
M53,Dry,7.5,252.3,26.5,6.2,159.25,0.616353857,0.321622616,0.4168112,0.10908084,0.002628412,1.251267278,3.238161576,0.236436176,1.334672465,0.735031495
M54,Dry,7.82,2452,29.8,8.17,1456,8.49699312,0.269621877,2.504875,0.39330351,0.00289303,23.7020391,10.66360105,0,0.622277585,0.809551186
M55,Dry,6.78,171.1,28,3.26,105.3,0.334500135,0.173400961,0.329160614,0.10747671,0.002544424,0.663098058,3.238161576,0.055860807,0.26015083,0.57764082
M56,Dry,6.96,72.5,28.3,7.16,44.2,0.059221467,0.122494974,0.18475958,0.050238435,0.002076197,0.159650916,1.730741532,0,0.131067122,0.320316597
M57,Dry,7.4,88,29.8,10.3,52.65,0.079636321,0.109670732,0.235778874,0.065404755,0.001113711,0.200437508,2.177384508,0,0.052884574,0.26096841
M01,Rainy,8.21,303,27.4,5.71,152,15.53853832,3.60092763,36.888,5.8954,0.139326789,16.74203754,141.558976,0,8.693277453,1.146357441
M02,Rainy,8.43,297,28.1,5.89,149,17.40020424,3.92543012,34.8807,6.404,0.160105392,18.67187013,136.6044118,0.436789513,9.741749566,1.299310107
M03,Rainy,7.67,497,29.3,4.6,249,42.05475834,8.483265092,46.1682,8.2532,0.203394865,45.57891416,184.0266688,0.530707194,28.35904088,9.351071493
M04,Rainy,7.3,177,28.8,4.83,88,19.39421088,3.069123549,10.1189,2.2448,0.370986618,27.44837027,42.4676928,0,4.041854744,7.062909673
M05,Rainy,7.11,88,27.2,5.73,44,9.014161415,1.882714446,5.0285,1.132,0.223497504,13.19358574,24.7728208,0,2.282180061,4.580519227
M06,Rainy,7.36,100,27.1,5.89,50,3.741923518,1.386210636,11.6187,2.3754,0.115993817,5.457765447,42.4676928,0,3.345543821,7.159113775
M07,Rainy,6.64,18,28.1,5.96,9,1.242243442,1.076908263,1.1593,0.3731,0.028921687,1.901932046,5.491512,0.472256131,1.040991003,4.735659138
M08,Rainy,6.95,95,27.9,5.24,48,9.711349056,2.080515964,5.4144,1.2603,0.124463304,14.38603864,21.2338464,0.630141845,3.029832486,4.805472098
M09,Rainy,6.89,93,27.7,5.16,46,9.461860833,1.968115101,5.1026,1.209,0.137842382,13.85704227,21.2338464,0,2.346228541,4.720145147
M10,Rainy,6.81,91,27.6,4.66,46,8.919703734,2.473818982,5.1937,1.2582,0.338817009,12.94468641,21.2338464,0,2.330306891,5.210980723
M11,Rainy,6.5,45,26.2,4.66,23,4.020598664,1.41141083,2.5531,0.557,0.052159897,7.052713928,9.90912832,0.398530638,1.464043984,2.974821147
M12,Rainy,6.79,94,27,5.08,47,11.25675667,1.967315095,4.9574,1.3406,0.148473357,16.33921001,21.2338464,0,2.595397389,4.729960216
M13,Rainy,6.52,50,26.7,5.05,25,6.029198758,1.106908493,1.8123,0.6411,0.08500126,8.256346388,10.6169232,0,1.589171593,3.323885947
M14,Rainy,6.54,56,27.5,4.53,28,6.465403327,1.37231053,2.5784,0.6864,0.630159737,8.695412576,10.6169232,0,1.360139292,3.758277698
M15,Rainy,7.26,177,28.4,5.02,89,17.37571522,3.410026165,11.9273,2.4748,0.320079143,24.0877206,46.0066672,0,4.238413414,7.473878569
M16,Rainy,6.68,19,27,6.8,10,0.995853831,0.825406333,1.6497,0.3299,0.182120028,1.636349105,6.10168,0,0.949281793,2.928279173
M17,Rainy,6.52,22,27.7,5.49,11,1.551105063,1.005507715,1.8505,0.2848,0.147566373,1.737774744,8.542352,0,0.880237286,2.711603991
M18,Rainy,6.51,31,27.3,4.94,16,2.121649444,1.568512035,2.0377,0.5122,0.17819586,3.773432296,5.491512,0.747439131,1.836184638,3.956586201
M19,Rainy,6.45,63,27.9,4.58,32,7.894563025,1.247309571,2.3565,0.7214,0.101395975,11.378694,11.32471808,0,1.54433447,3.699888839
M20,Rainy,7.05,172,28.7,5.17,86,19.85400488,2.930422485,8.4095,2.0145,0.327853936,30.4385834,28.3117952,0,3.82341314,6.536394699
M21,Rainy,7.03,172,28.4,5.18,86,20.47462682,2.995022981,8.0345,1.986,0.204353827,31.25287629,31.8507696,0,3.759494423,6.74175259
M22,Rainy,6.76,100,27.6,5.29,50,11.63028932,2.116216238,4.0293,1.164,0.194616263,18.35963709,17.694872,0.464612507,2.66763963,5.727798006
M23,Rainy,6.5,39,27.3,5.19,19,3.112405559,1.598712267,2.0274,0.7493,0.100365447,4.987800794,10.6169232,0.398043066,1.507511079,5.329917093
M24,Rainy,6.44,36,27.7,5.01,18,2.858719217,1.57051205,1.7755,0.6596,0.071348119,4.9225243,9.15252,0.477226184,1.792092585,5.342751961
M25,Rainy,6.8,124,27.7,5.5,62,16.09868736,2.213616985,4.6119,1.1553,0.115790248,23.1172,18.30504,0.031102006,2.118723375,5.034715126
M26,Rainy,6.36,40,27.9,4.74,20,3.675653209,1.677712873,1.9273,0.5266,0.161588897,5.576092909,8.13964112,0.303111405,1.351667063,3.866742124
M27,Rainy,6.46,38,28.3,4.94,19,3.153886974,1.575812091,2.2465,0.6157,0.681264855,4.888162662,9.15252,0.694112186,1.218176134,3.610044761
M28,Rainy,6.48,42,29,4.99,21,3.929039685,1.436411022,2.3509,0.4951,0.359366009,5.618862421,10.6169232,0.542990825,1.295278357,4.17477896
M29,Rainy,6.66,69,28.8,4.71,34,6.978573413,1.739513347,3.9822,1.0248,0.131904497,7.362598838,20.52605152,1.041355066,2.883868427,6.022999973
M30,Rainy,6.7,261,30.1,3.28,130,37.41193845,2.448118784,7.2931,1.9585,0.113216847,60.87041006,33.26635936,0.425304276,6.176894043,6.138513787
M31,Rainy,6.89,120,30.1,4.8,60,10.75788018,2.883922128,7.7101,2.6193,0.183078045,10.65179011,45.29887232,0.484263291,6.127931263,7.126798634
M32,Rainy,6.8,176,30.6,3.92,88,23.57583739,2.438618711,6.4711,1.6711,0.123842152,36.12637573,24.7728208,0.478587002,7.168897406,6.2540276
M33,Rainy,6.72,186,30.7,3.76,93,24.94612347,2.485419071,6.6019,1.7269,0.135381057,38.23641055,24.7728208,0.814951545,4.317848555,6.446550622
M34,Rainy,6.67,65,20.3,4.24,33,6.259095758,1.609212347,3.9769,0.8578,0.14968731,6.734899201,19.11046176,2.02128975,3.017932682,5.759461056
M35,Rainy,6.87,50,28.8,5.06,25,5.227557914,1.551811907,2.5605,0.5438,0.134989121,4.620509036,17.694872,0.360668202,1.685481347,5.368966423
M36,Rainy,6.9,324,30.4,3.59,162,46.49626843,2.452418817,10.3071,2.5172,0.132811653,75.42946449,33.97415424,0.341335033,6.169358113,6.500603931
M37,Rainy,7.14,203,30.4,5.09,102,25.13423919,2.836021761,9.7253,2.4421,0.154842097,36.7766554,38.9287184,0.923693638,6.9243383,8.229937305
M38,Rainy,7.06,94,30.9,5.73,47,8.688707227,2.465918921,5.6452,1.8071,0.18891481,9.805234937,31.14297472,0.69336878,4.029819986,7.600364325
M39,Rainy,6.47,126,30,2.97,63,17.81341911,2.002115362,3.1868,0.8544,0.106578254,27.63143964,14.1558976,0.307474685,3.438867469,3.392585424
M40,Rainy,6.8,193,29.7,3.91,97,25.69978581,2.411718505,6.2005,1.6233,0.136797593,40.44775513,26.18841056,0.451701596,4.137652184,6.141986411
M41,Rainy,6.45,117,30.2,3.68,59,16.72790545,1.73211329,2.8985,0.7843,0.092237379,26.01346383,10.6169232,0,2.977788987,3.735264388
M42,Rainy,6.76,146,30,4.08,73,19.63630241,2.163616601,5.1133,1.3054,0.126775999,29.94308497,19.81825664,0.427208677,3.312929408,5.400843536
M43,Rainy,6.56,43,30.4,4.4,22,4.986565885,1.148408812,1.7893,0.6962,0.102849066,5.09225418,9.15252,0.412733409,2.50654352,3.990281291
M44,Rainy,7.21,169,29.7,4,85,13.65478229,4.089031375,13.053,3.9375,0.182969322,13.75046052,67.11848,0.729476008,6.252623232,10.15850263
M45,Rainy,7.42,605,29.5,4.1,303,77.34094919,12.15139324,26.5528,7.9758,0.217958084,109.7026444,130.9420528,3.219180684,16.94927703,14.98788524
M46,Rainy,7.38,665,30.4,3.5,332,89.05690013,10.10367753,28.3537,8.1161,0.228932196,132.1480403,116.7861552,2.627962089,18.09113026,13.94390979
M47,Rainy,7.37,783,30.2,4.05,391,109.1561951,8.996969033,32.4385,8.1879,0.198876952,171.524182,120.3251296,3.393994265,17.12778921,13.12307413
M48,Rainy,7.99,108,25.2,6.47,54,2.553056163,1.533311765,16.7351,1.0856,0.044457485,3.025877462,61.57815456,1.464875756,2.603030026,10.23022614
M49,Rainy,7.34,33,24.5,7.12,16,2.199614514,1.038307967,3.0081,0.5993,0.027184781,2.165024254,12.03251296,0.751992749,1.608911292,11.89580529
M50,Rainy,7.69,151,26.3,6.03,76,7.389189446,3.299425316,14.5799,4.7453,0.148768555,6.293324,67.2405136,1.584411592,6.146333079,10.92355334
M51,Rainy,7.62,469,27.4,4.54,234,40.67407693,7.230655481,42.8362,7.7864,0.200094513,43.5291834,169.8707712,2.776578172,24.05399565,9.752069445
M52,Rainy,7.4,269,29.1,5.11,135,27.82383418,8.064461878,13.9639,5.8178,0.156847395,28.27852819,87.05877024,2.707298118,12.2762484,13.14781908
M53,Rainy,7.61,272,30.1,5.76,136,29.60393665,9.858975648,11.9711,5.5416,0.150022113,32.49533683,84.9353856,2.466955736,9.222221189,12.97946191
M54,Rainy,7.55,1996,31.1,4.7,998,326.2278412,4.067031206,62.397,13.989,0.305974232,603.01,120.3251296,0,9.76009625,13.19592113
M55,Rainy,7.22,215,30,3.41,107,16.72560648,5.077338958,12.7349,6.8096,0.152242452,21.51308054,79.932008,1.046424325,3.628180879,12.81110473
M56,Rainy,7.93,64,30.5,6.91,32,2.910396065,3.043223351,4.1893,1.9654,0.074814671,4.741180446,24.7728208,0,2.818628856,5.643899179
M57,Rainy,7.23,46,25.8,6.71,23,2.3382524,1.204309241,3.6456,1.2493,0.025034805,3.846326556,12.20336,0.686205935,3.385588349,8.914838624
